,class,text_tfidf
0,ham,"  (0, 8227)	0.23740046706740076
  (0, 2009)	0.3554734948893099
  (0, 1156)	0.4748503048290259"
1662,spam,"  (0, 8199)	0.2514454861206451
  (0, 8179)	0.24221175990020646
  (0, 8071)	0.1577938522719949
  (0, 7814)	0.12503664906619905
  (0, 7497)	0.1373295443854748
  (0, 6875)	0.229197553737468
  (0, 6443)	0.26445969228338356
  (0, 4896)	0.26445969228338356
  (0, 4759)	0.24221175990020646
  (0, 4580)	0.24649771456822075
  (0, 4134)	0.28670762466656063
  (0, 3737)	0.1552915221006376
  (0, 3323)	0.19873493252326507
  (0, 3265)	0.13440962488343858
  (0, 2403)	0.28670762466656063
  (0, 1912)	0.1821325596461576
  (0, 1779)	0.2514454861206451
  (0, 1728)	0.28670762466656063
  (0, 289)	0.28670762466656063"
1663,ham,"  (0, 4485)	1.0"
1664,ham,"  (0, 8393)	0.4412633644656837
  (0, 4674)	0.607114346444404
  (0, 3038)	0.6608319101873104"
1665,ham,"  (0, 6901)	0.3834297713302206
  (0, 6078)	0.26441626917906225
  (0, 4589)	0.39852319343366127
  (0, 4403)	0.34409794828908213
  (0, 4394)	0.23888843842674515
  (0, 4024)	0.3239230202546414
  (0, 3349)	0.33627178683294995
  (0, 2740)	0.26441626917906225
  (0, 2221)	0.22843094899606053
  (0, 1229)	0.32965486160416824"
1666,ham,"  (0, 6930)	0.3944671417897521
  (0, 5624)	0.47433682884021616
  (0, 5196)	0.2630073261571154
  (0, 3572)	0.3166015458795661
  (0, 3247)	0.47433682884021616
  (0, 2557)	0.47433682884021616"
1667,ham,"  (0, 8220)	0.3061996200526106
  (0, 6012)	0.4289060232258301
  (0, 3474)	0.33911842823297894
  (0, 3409)	0.4337682334484723
  (0, 2363)	0.3781079704098718
  (0, 2271)	0.4202133339722849
  (0, 1203)	0.3155635338065071"
1668,ham,"  (0, 8329)	0.6895945480432311
  (0, 6401)	0.7241956636911409"
1669,ham,"  (0, 4809)	0.49932233089920225
  (0, 4610)	0.2490425837920958
  (0, 4504)	0.4605759268990457
  (0, 3882)	0.47665713752131844
  (0, 2132)	0.49932233089920225"
1670,ham,"  (0, 5188)	0.5911849989154304
  (0, 4541)	0.8065359862134873"
1671,ham,"  (0, 6217)	0.546207246047954
  (0, 3437)	0.8376500727420192"
1672,spam,"  (0, 8202)	0.19395488798710195
  (0, 7858)	0.2455145365028664
  (0, 7818)	0.20605864237028662
  (0, 7667)	0.22385122923674078
  (0, 7539)	0.25041322031626356
  (0, 6669)	0.23049114936322318
  (0, 5894)	0.19861841831938554
  (0, 4500)	0.22385122923674078
  (0, 4370)	0.2560311904717013
  (0, 3566)	0.21819369185754348
  (0, 2689)	0.2229900502354909
  (0, 2177)	0.20661003106026085
  (0, 2000)	0.18908815153095868
  (0, 840)	0.3423026121107263
  (0, 722)	0.24870979086579426
  (0, 333)	0.2581030924996595
  (0, 191)	0.3423026121107263"
1673,spam,"  (0, 8010)	0.5849317082170081
  (0, 7831)	0.22574797396281288
  (0, 5633)	0.18887731728213664
  (0, 5568)	0.29246585410850406
  (0, 5542)	0.29710308667069135
  (0, 4989)	0.3243929646923287
  (0, 4958)	0.351682842713966
  (0, 2089)	0.21170533484308188
  (0, 517)	0.351682842713966"
1674,ham,"  (0, 5092)	0.4321677419333432
  (0, 4149)	0.5340988682282786
  (0, 2727)	0.5340988682282786
  (0, 1700)	0.4926538751971601"
1675,ham,"  (0, 8219)	0.3525935624813094
  (0, 7598)	0.485279236618015
  (0, 7461)	0.31376850408739254
  (0, 7441)	0.2978513581663749
  (0, 5486)	0.44762254836009513
  (0, 3645)	0.2803160101893663
  (0, 2761)	0.4172202357466746"
1676,ham,"  (0, 8317)	0.5959166032171711
  (0, 5343)	0.4609194146715769
  (0, 3128)	0.6575991903803713"
1677,ham,"  (0, 4566)	0.49687400497879614
  (0, 3917)	0.7712483303988181
  (0, 2095)	0.397859568231514"
1678,ham,"  (0, 7495)	0.42540757859069384
  (0, 6912)	0.37327668328245145
  (0, 6689)	0.5218605108456155
  (0, 6579)	0.2681936139113712
  (0, 6181)	0.26093025542280773
  (0, 5586)	0.18598074026837655
  (0, 4713)	0.2681936139113712
  (0, 4473)	0.17597206383177671
  (0, 4139)	0.2775577116441704
  (0, 2845)	0.22982820419038388"
1679,ham,"  (0, 7860)	0.3379944361890244
  (0, 7814)	0.15980390561299243
  (0, 7538)	0.1866701195305038
  (0, 6859)	0.5929935787692193
  (0, 6536)	0.17855495995447626
  (0, 6351)	0.292927429819393
  (0, 3296)	0.28377368927584656
  (0, 2434)	0.34979566026538267
  (0, 2433)	0.34979566026538267
  (0, 2401)	0.17551492072722413"
1680,ham,"  (0, 7979)	0.5296561334860799
  (0, 5344)	0.613201190535789
  (0, 977)	0.5860449472404544"
1681,ham,"  (0, 4444)	1.0"
1682,ham,"  (0, 8292)	0.31136410478881976
  (0, 8003)	0.3043601360672899
  (0, 7566)	0.2840997720712132
  (0, 7557)	0.26110649756559695
  (0, 6874)	0.23491733017240152
  (0, 6098)	0.2651925911393795
  (0, 4610)	0.22743338152547604
  (0, 4487)	0.4206121656340004
  (0, 3941)	0.26963442773757895
  (0, 3737)	0.24698472138188077
  (0, 1418)	0.3177535477370107
  (0, 1310)	0.26963442773757895"
1683,ham,"  (0, 8043)	0.3690774365855907
  (0, 7991)	0.5623070270605235
  (0, 6978)	0.6540332933481193
  (0, 5176)	0.34616918452395196"
1684,ham,"  (0, 8005)	0.31942440666937083
  (0, 7584)	0.5588905871350848
  (0, 1555)	0.5491729322471409
  (0, 1388)	0.532933814392367"
1685,ham,"  (0, 7069)	0.5824726333776507
  (0, 6756)	0.416399352615844
  (0, 3463)	0.33471472580368417
  (0, 2263)	0.612619998724638"
1686,spam,"  (0, 7937)	0.2389484151617303
  (0, 7539)	0.20331880106172803
  (0, 6522)	0.19366864940226033
  (0, 6117)	0.24941740280720182
  (0, 5279)	0.21738185340720248
  (0, 5278)	0.15846623613273716
  (0, 4775)	0.2389484151617303
  (0, 2842)	0.22785084105267397
  (0, 2553)	0.27792684670063544
  (0, 2000)	0.15352694324883445
  (0, 1287)	0.40953244702263325
  (0, 506)	0.4443561865913879
  (0, 238)	0.27792684670063544
  (0, 4)	0.27792684670063544"
1687,spam,"  (0, 8075)	0.23788156419781423
  (0, 8071)	0.3650687170521962
  (0, 7134)	0.30592434110643835
  (0, 7129)	0.2683641362721537
  (0, 7063)	0.17445040115116986
  (0, 6807)	0.20793754342226042
  (0, 6536)	0.16161304041351385
  (0, 6300)	0.46474161639541045
  (0, 3265)	0.31096743383311476
  (0, 740)	0.30592434110643835
  (0, 386)	0.2233252495973306
  (0, 167)	0.29763913950365917"
1688,ham,"  (0, 6857)	0.5327796925994105
  (0, 6838)	0.5327796925994105
  (0, 5104)	0.49143706493170614
  (0, 1582)	0.4367850839013"
1689,ham,"  (0, 7310)	0.5158986381640835
  (0, 3225)	0.456292947494311
  (0, 2651)	0.31370374333749007
  (0, 1859)	0.49193855721559904
  (0, 1657)	0.43038559286769673"
1690,spam,"  (0, 8185)	0.24926952973079283
  (0, 8146)	0.19376127989475736
  (0, 7718)	0.2888568202678399
  (0, 7701)	0.16264627175236815
  (0, 7191)	0.2638800208047391
  (0, 6897)	0.2676765715874871
  (0, 6861)	0.26044562286656725
  (0, 6020)	0.24694395480917805
  (0, 5694)	0.24694395480917805
  (0, 4320)	0.14832637825920905
  (0, 2747)	0.2676765715874871
  (0, 2240)	0.27192075427227885
  (0, 1086)	0.2888568202678399
  (0, 1015)	0.30726386212453416
  (0, 744)	0.27192075427227885
  (0, 607)	0.19992155690466676"
1691,ham,"  (0, 6061)	0.5425700453606697
  (0, 5743)	0.5179417557005599
  (0, 4320)	0.2500275308690324
  (0, 2732)	0.5425700453606697
  (0, 2651)	0.2836513057681885"
1692,ham,"  (0, 8080)	0.44992545846457904
  (0, 7405)	0.26804621638531306
  (0, 4979)	0.28119328809364563
  (0, 4716)	0.252879777439144
  (0, 4545)	0.35967587037219667
  (0, 3456)	0.2990326581939128
  (0, 3428)	0.3135229896174279
  (0, 3288)	0.2848581225017406
  (0, 2773)	0.42950248338279506"
1693,ham,"  (0, 8026)	0.28221487748040014
  (0, 7814)	0.22027690421218138
  (0, 6465)	0.3600568505458655
  (0, 5689)	0.40377703631168876
  (0, 4857)	0.2873850439954315
  (0, 4433)	0.37213344321979874
  (0, 3508)	0.3748922933722576
  (0, 2413)	0.27747809172448346
  (0, 2160)	0.3748922933722576"
1694,ham,"  (0, 8393)	0.47888192283467784
  (0, 8134)	0.2661858545791071
  (0, 4444)	0.27113892115785315
  (0, 4397)	0.19913268897357456
  (0, 3789)	0.1898122377392021
  (0, 3463)	0.18930860942563735
  (0, 3277)	0.31238520561193794
  (0, 2771)	0.6459071918907673"
1695,ham,"  (0, 8309)	0.4012190147261914
  (0, 6452)	0.3807363586070264
  (0, 5343)	0.2291840707890281
  (0, 5067)	0.5129661646149695
  (0, 3131)	0.3395132060373968
  (0, 2828)	0.5129661646149695"
1696,ham,"  (0, 7184)	0.37423335698838206
  (0, 7017)	0.46813569823713147
  (0, 6874)	0.2411710821929323
  (0, 6052)	0.4105597413063567
  (0, 5648)	0.28033101573963254
  (0, 5196)	0.2595689619401599
  (0, 4726)	0.30268395320072694
  (0, 2722)	0.4201148302215252"
1697,ham,"  (0, 6401)	0.30850982790463144
  (0, 6291)	0.3042955700561211
  (0, 5893)	0.5267923221485687
  (0, 5474)	0.36708637095388774
  (0, 3603)	0.4620021936330437
  (0, 2621)	0.4318764994694129"
1698,spam,"  (0, 7161)	0.3668812415321139
  (0, 6874)	0.1979948380204736
  (0, 6558)	0.47742333575491896
  (0, 6115)	0.26117909724325256
  (0, 5412)	0.34490274291329326
  (0, 5026)	0.21309899224721623
  (0, 3265)	0.18017375178648296
  (0, 2461)	0.34490274291329326
  (0, 2278)	0.29763446280804023
  (0, 739)	0.35450359300025913"
1699,ham,"  (0, 5343)	1.0"
1700,ham,"  (0, 5056)	0.6761279718827233
  (0, 3056)	0.6009367913017537
  (0, 1203)	0.4262932541076714"
1701,ham,"  (0, 6332)	0.31214334308059294
  (0, 4863)	0.4363874266675775
  (0, 3836)	0.6026584923414704
  (0, 3601)	0.2924064194602339
  (0, 2221)	0.27234300876466844
  (0, 2095)	0.43504374522693723"
1702,ham,"  (0, 7538)	0.33468947152012235
  (0, 4596)	0.5138653547091483
  (0, 4296)	0.6569866593026534
  (0, 297)	0.43851326591285883"
1703,ham,"  (0, 7308)	0.5656213755776951
  (0, 4226)	0.24787159840524123
  (0, 3144)	0.5465387357573321
  (0, 2336)	0.5656213755776951"
1704,ham,"  (0, 8232)	0.2375988008258075
  (0, 7608)	0.31422733515948864
  (0, 7571)	0.3291689415162976
  (0, 6775)	0.3291689415162976
  (0, 6769)	0.31422733515948864
  (0, 6076)	0.295403137381053
  (0, 5715)	0.2408052166617076
  (0, 5014)	0.31422733515948864
  (0, 3416)	0.3291689415162976
  (0, 2651)	0.17208690541949057
  (0, 1052)	0.1976297501973843
  (0, 878)	0.3291689415162976"
1705,ham,"  (0, 8393)	0.21091888053278204
  (0, 8390)	0.3734488401415093
  (0, 8365)	0.2901937677570413
  (0, 8184)	0.3158701536118278
  (0, 8002)	0.26451738190225477
  (0, 7970)	0.33088987649092505
  (0, 6915)	0.33088987649092505
  (0, 6455)	0.33088987649092505
  (0, 5283)	0.3158701536118278
  (0, 1691)	0.2901937677570413
  (0, 977)	0.22280632763730635"
1706,ham,"  (0, 8329)	0.28006816472476326
  (0, 8199)	0.4404543265457543
  (0, 7353)	0.2654002466605298
  (0, 4726)	0.3247236476207528
  (0, 4488)	0.46325117010565914
  (0, 2593)	0.46325117010565914
  (0, 1418)	0.34996539525316966"
1707,ham,"  (0, 7557)	0.36162607480195036
  (0, 7382)	0.4620092625209588
  (0, 2755)	0.48908738717626093
  (0, 2641)	0.363197283787363
  (0, 1133)	0.5335309589168693"
1708,ham,"  (0, 6910)	0.2498950619637866
  (0, 6007)	0.3284331360432865
  (0, 4914)	0.21803179391552513
  (0, 4616)	0.3146475605184765
  (0, 4264)	0.34936212943408995
  (0, 3767)	0.286248686057475
  (0, 2641)	0.21046973976853967
  (0, 2628)	0.27373692034374636
  (0, 2626)	0.25237890821245745
  (0, 2497)	0.3659744060564636
  (0, 2101)	0.23328278534141295
  (0, 892)	0.3284331360432865"
1709,ham,"  (0, 8000)	0.27733216772152997
  (0, 6309)	0.3272666135918072
  (0, 5076)	0.35677692641264863
  (0, 4822)	0.5164468502700853
  (0, 3587)	0.3143158402076577
  (0, 3275)	0.3956966040519317
  (0, 2738)	0.2801008449775954
  (0, 977)	0.296899940686824"
1710,ham,"  (0, 5928)	0.5707957901753357
  (0, 3667)	0.4315996098596698
  (0, 3501)	0.5707957901753357
  (0, 2564)	0.40262402884727266"
1711,ham,"  (0, 3494)	0.3761396954279624
  (0, 2593)	0.7393100827738601
  (0, 1418)	0.5585154707188225"
1712,ham,"  (0, 7781)	0.4252803314451576
  (0, 7691)	0.38302210672480164
  (0, 7039)	0.4455025419047333
  (0, 5633)	0.23926479980650223
  (0, 4869)	0.4455025419047333
  (0, 4610)	0.22219936352956424
  (0, 1006)	0.41093244478800317"
1713,spam,"  (0, 7955)	0.2458680641414598
  (0, 7731)	0.15423267854292919
  (0, 6558)	0.15997431600457737
  (0, 4886)	0.1585442474568346
  (0, 4531)	0.5093219962199375
  (0, 4226)	0.10774647615341872
  (0, 3646)	0.19585291491640572
  (0, 3428)	0.1794757737230068
  (0, 2163)	0.23113901752796
  (0, 1979)	0.1942048203365066
  (0, 1917)	0.20840479145694685
  (0, 1912)	0.32723168939997266
  (0, 1479)	0.23113901752796
  (0, 1397)	0.2458680641414598
  (0, 649)	0.22588199324467115
  (0, 325)	0.237573095256047
  (0, 284)	0.2458680641414598"
1714,ham,"  (0, 8317)	0.7414293415187314
  (0, 2651)	0.6710309467789844"
1715,ham,"  (0, 7814)	0.23062330780622575
  (0, 5269)	0.3868585087291375
  (0, 4324)	0.41361654305818285
  (0, 3296)	0.4095320864539059
  (0, 2012)	0.5288166411022492
  (0, 1207)	0.4227424389471995"
1716,ham,"  (0, 7290)	0.3160780253908483
  (0, 6874)	0.25090884583955037
  (0, 5992)	0.41873200333592187
  (0, 4566)	0.2894241627226177
  (0, 4473)	0.2947664433548466
  (0, 3141)	0.48703761111377947
  (0, 2755)	0.3771771036652874
  (0, 910)	0.33418727992289926"
1717,spam,"  (0, 8245)	0.20260531216314934
  (0, 8146)	0.15429658432178162
  (0, 7920)	0.2563159848359983
  (0, 7919)	0.47285276459511244
  (0, 7731)	0.15348823140375586
  (0, 7701)	0.12951898437961185
  (0, 7605)	0.2563159848359983
  (0, 7599)	0.22036841379037553
  (0, 7485)	0.20739886747082512
  (0, 5836)	0.24468131319676137
  (0, 4002)	0.1949075760713198
  (0, 2040)	0.3865348729612803
  (0, 1616)	0.22479171065831927
  (0, 1565)	0.18623373801044865
  (0, 739)	0.23642638229755622
  (0, 404)	0.24468131319676137"
1718,ham,"  (0, 7001)	0.3790053826627113
  (0, 4919)	0.41088958419654914
  (0, 3803)	0.7374819248118362
  (0, 2636)	0.3790053826627113"
1719,ham,"  (0, 7983)	0.3826886344478802
  (0, 6756)	0.3385838061604139
  (0, 5026)	0.29943879186318584
  (0, 4589)	0.2806498646510211
  (0, 4464)	0.36202723949605614
  (0, 2738)	0.34306420775852847
  (0, 2599)	0.44273840644669354
  (0, 1461)	0.35455381727481694"
1720,ham,"  (0, 8227)	0.1657725935680529
  (0, 8146)	0.29505669069831547
  (0, 6843)	0.21493119415052997
  (0, 4591)	0.7748720192028129
  (0, 3106)	0.2260555094629014
  (0, 3105)	0.21493119415052997
  (0, 2768)	0.16900408155774294
  (0, 2550)	0.2260555094629014
  (0, 2030)	0.1833063513064851
  (0, 1690)	0.16815983225774567"
1721,ham,"  (0, 8402)	0.7472388004285347
  (0, 8031)	0.14766031469971358
  (0, 7441)	0.13336247412828525
  (0, 7047)	0.4345660200234078
  (0, 4406)	0.2172830100117039
  (0, 3862)	0.2172830100117039
  (0, 3836)	0.14322536455975304
  (0, 3413)	0.13898423919686365
  (0, 2906)	0.17813362460428378
  (0, 2868)	0.2172830100117039"
1722,ham,"  (0, 7557)	0.2884602915029214
  (0, 7461)	0.32572236579463504
  (0, 5827)	0.5037672646015765
  (0, 4812)	0.3901330686746859
  (0, 4577)	0.3474019771035751
  (0, 4539)	0.2296891232245563
  (0, 3485)	0.4809003072013732"
1723,ham,"  (0, 8389)	0.24547049517491243
  (0, 7814)	0.10705264011372978
  (0, 7323)	0.22029038971636866
  (0, 7174)	0.23432812100613645
  (0, 6902)	0.24547049517491243
  (0, 6401)	0.14375695513785242
  (0, 6120)	0.20737446626694178
  (0, 5617)	0.19862320615452062
  (0, 4797)	0.19199595804209232
  (0, 4437)	0.16927843735897105
  (0, 4195)	0.24547049517491243
  (0, 4128)	0.22642248072092713
  (0, 4106)	0.20413773238337513
  (0, 4040)	0.20413773238337513
  (0, 3737)	0.13295595773165125
  (0, 3665)	0.35212453960767903
  (0, 2561)	0.24547049517491243
  (0, 1488)	0.21528010655215113
  (0, 576)	0.23432812100613645
  (0, 322)	0.1940324803916448
  (0, 2)	0.24547049517491243"
1724,ham,"  (0, 4633)	0.43297193919153404
  (0, 3563)	0.43297193919153404
  (0, 1555)	0.7906140649807876"
1725,ham,"  (0, 6910)	0.47599753099870534
  (0, 6591)	0.4807287356590002
  (0, 4904)	0.4807287356590002
  (0, 4633)	0.32251427166804586
  (0, 4320)	0.3212401049797403
  (0, 3563)	0.32251427166804586"
1726,ham,"  (0, 8292)	0.1909892475699036
  (0, 8238)	0.2006175654620258
  (0, 7600)	0.19597006595391858
  (0, 5963)	0.20921105058142764
  (0, 4947)	0.2326086954082774
  (0, 4610)	0.1395065447229073
  (0, 4225)	0.38384807641954266
  (0, 4155)	0.2670097188223169
  (0, 4032)	0.23629685456067878
  (0, 3875)	0.25101415384919107
  (0, 3461)	0.20462043239858496
  (0, 2840)	0.18834148846927498
  (0, 2535)	0.1938817482104272
  (0, 2359)	0.29562216721414514
  (0, 1964)	0.25800148378590465
  (0, 1420)	0.2326086954082774
  (0, 1032)	0.23629685456067878
  (0, 464)	0.22632506162381083"
1727,ham,"  (0, 8093)	0.47470187493538324
  (0, 5921)	0.582577260652427
  (0, 1872)	0.6597437876202744"
1728,ham,"  (0, 6562)	0.251418112275456
  (0, 6224)	0.2837871510247295
  (0, 5862)	0.26690796113431403
  (0, 4676)	0.3257570714091327
  (0, 3288)	0.21605124846406912
  (0, 2211)	0.2797620982382005
  (0, 1772)	0.598553999767175
  (0, 1771)	0.2992769998835875
  (0, 1004)	0.3257570714091327"
1729,ham,"  (0, 8317)	0.4373947310598278
  (0, 5741)	0.5922569162632005
  (0, 4566)	0.4499762984535165
  (0, 3572)	0.5054096607798242"
1730,ham,"  (0, 5921)	0.5629978446564463
  (0, 4589)	0.37779976814785104
  (0, 3277)	0.6045718184309862
  (0, 2641)	0.4180833391307007"
1731,ham,"  (0, 6004)	0.3520288798534788
  (0, 4566)	0.24762506136215065
  (0, 2120)	0.4166988588762363
  (0, 1321)	0.2859234174468987
  (0, 989)	0.7479086555865131"
1732,ham,"  (0, 7566)	0.6457100600215975
  (0, 3635)	0.763582686018289"
1733,spam,"  (0, 7620)	0.25423954003122756
  (0, 7350)	0.24269912218383258
  (0, 7173)	0.25423954003122756
  (0, 6115)	0.1727750848448728
  (0, 5894)	0.29504101650802544
  (0, 4735)	0.25423954003122756
  (0, 3831)	0.25423954003122756
  (0, 3737)	0.13770559885015884
  (0, 3191)	0.25423954003122756
  (0, 2767)	0.24269912218383258
  (0, 2689)	0.165622130236835
  (0, 2000)	0.14044206199348358
  (0, 1984)	0.23451106541419203
  (0, 1775)	0.18599023115357144
  (0, 609)	0.1812355089800108
  (0, 436)	0.23451106541419203
  (0, 184)	0.25423954003122756
  (0, 18)	0.22815991516569606
  (0, 15)	0.1988547097104043
  (0, 0)	0.20571870577060697"
1734,ham,"  (0, 7443)	0.401047715331295
  (0, 3463)	0.37943419264125067
  (0, 3137)	0.7528918042128518
  (0, 2095)	0.35825180338882856"
1735,ham,"  (0, 7505)	0.7730056660724918
  (0, 6912)	0.6343991174488057"
1736,ham,"  (0, 7557)	0.4830578150638956
  (0, 2521)	0.7781498952143439
  (0, 2095)	0.40141983992274344"
1737,ham,"  (0, 6536)	0.3587653486117949
  (0, 6291)	0.4252889221008088
  (0, 5708)	0.40520865520929833
  (0, 5648)	0.44088697387989656
  (0, 5633)	0.39541806037087107
  (0, 4857)	0.41891041633364395"
1738,ham,"  (0, 6756)	0.6171210813813863
  (0, 6253)	0.7868682042849794"
1739,ham,"  (0, 4058)	0.807686386591219
  (0, 3588)	0.5896123310406761"
1740,spam,"  (0, 7814)	0.123541197749806
  (0, 7701)	0.14314344430826442
  (0, 6910)	0.19342859787968217
  (0, 5398)	0.2135977722723898
  (0, 5390)	0.21733303728171974
  (0, 5335)	0.2704200167768377
  (0, 4531)	0.18672733178198195
  (0, 3463)	0.14276364218215562
  (0, 2299)	0.2612967268815461
  (0, 2000)	0.15648323907692088
  (0, 1835)	0.16669168642226279
  (0, 1773)	0.2704200167768377
  (0, 1327)	0.5408400335536754
  (0, 399)	0.20193608010584732
  (0, 368)	0.17995423530593416
  (0, 67)	0.2704200167768377
  (0, 36)	0.2704200167768377"
1741,ham,"  (0, 8005)	0.3286572555514125
  (0, 5448)	0.5131452272848914
  (0, 4024)	0.5650465805585357
  (0, 1420)	0.5562272430286538"
1742,ham,"  (0, 8292)	0.17567883334079226
  (0, 8239)	0.25728382219055623
  (0, 7814)	0.11220457433967566
  (0, 7797)	0.2456052185670239
  (0, 7437)	0.25728382219055623
  (0, 7419)	0.25728382219055623
  (0, 6435)	0.17833946028409015
  (0, 6297)	0.18955720638698856
  (0, 5166)	0.25728382219055623
  (0, 4610)	0.1283231769964179
  (0, 4320)	0.11856172183646872
  (0, 4107)	0.25728382219055623
  (0, 4102)	0.25728382219055623
  (0, 3669)	0.25728382219055623
  (0, 2999)	0.2456052185670239
  (0, 2840)	0.17324332853785485
  (0, 2678)	0.25728382219055623
  (0, 2639)	0.2081819960430041
  (0, 2221)	0.1532786237762083
  (0, 1780)	0.2456052185670239
  (0, 972)	0.22564051380537736"
1743,ham,"  (0, 8153)	0.493220255974129
  (0, 4610)	0.307725009080332
  (0, 4360)	0.5304492299059855
  (0, 2559)	0.6169786968570886"
1744,spam,"  (0, 6558)	0.25477437773883
  (0, 5723)	0.41018757214528767
  (0, 5633)	0.2202982881149184
  (0, 4372)	0.27875362176555885
  (0, 3041)	0.3176620385999559
  (0, 2865)	0.32790892191496074
  (0, 2397)	0.30928972531877563
  (0, 2139)	0.41018757214528767
  (0, 292)	0.41018757214528767"
1745,ham,"  (0, 8181)	0.200854777320185
  (0, 7505)	0.22895363245733646
  (0, 7268)	0.2472923795630562
  (0, 6942)	0.26269451417277995
  (0, 6831)	0.25671979188286614
  (0, 6813)	0.2700069832704097
  (0, 6559)	0.2189462006396821
  (0, 5688)	0.2434326004953226
  (0, 5280)	0.2927215869777631
  (0, 4650)	0.20290358480624596
  (0, 4545)	0.23400518817551264
  (0, 4114)	0.2700069832704097
  (0, 4025)	0.2927215869777631
  (0, 3494)	0.13737178325731028
  (0, 2639)	0.236856572415082
  (0, 2204)	0.19295183736243943
  (0, 1850)	0.2189462006396821
  (0, 1812)	0.17528878937326212"
1746,ham,"  (0, 6536)	0.22137267755072837
  (0, 6078)	0.31328799092769144
  (0, 4972)	0.6970812898267226
  (0, 4320)	0.20935022108994936
  (0, 2651)	0.23750369956710235
  (0, 2504)	0.32007924120243714
  (0, 1203)	0.26420510658425217
  (0, 887)	0.3072976836483311"
1747,ham,"  (0, 8259)	0.701106613952183
  (0, 7443)	0.4867831264908487
  (0, 5278)	0.5210486576475362"
1748,ham,"  (0, 6779)	0.2729784464001082
  (0, 4998)	0.19948554317345316
  (0, 4473)	0.2041800045634172
  (0, 3645)	0.5846219490999013
  (0, 3597)	0.32204961171731555
  (0, 3198)	0.31118446939766303
  (0, 3123)	0.25882706873612527
  (0, 3076)	0.21084439031604768
  (0, 2401)	0.16159294837424223
  (0, 1052)	0.40509896621535707"
1749,ham,"  (0, 5053)	0.6810184763992656
  (0, 4610)	0.4576314751752104
  (0, 4394)	0.5716531008678111"
1750,ham,"  (0, 5533)	0.6060729946545088
  (0, 5498)	0.6060729946545088
  (0, 4708)	0.42948048591367766
  (0, 3494)	0.28442496817330004"
1751,ham,"  (0, 7814)	0.15273131716330626
  (0, 7612)	0.35021118594519435
  (0, 7609)	0.28711121005743595
  (0, 7446)	0.2599355296275821
  (0, 6445)	0.28337445823802887
  (0, 6138)	0.28337445823802887
  (0, 3539)	0.30109508616003344
  (0, 1991)	0.35021118594519435
  (0, 1830)	0.35021118594519435
  (0, 1506)	0.29124199754924784
  (0, 1318)	0.35021118594519435"
1752,ham,"  (0, 5278)	0.6914239965593226
  (0, 4914)	0.7224492071986334"
1753,ham,"  (0, 8134)	0.3753103519570856
  (0, 6722)	0.3993512385869839
  (0, 4645)	0.35200602289766836
  (0, 4443)	0.3690633034156814
  (0, 4225)	0.36341216061317977
  (0, 3252)	0.4101614705635927
  (0, 1783)	0.37315403716445683"
1754,ham,"  (0, 8073)	0.47692025560224244
  (0, 8071)	0.3825332492297106
  (0, 7600)	0.4869744030863809
  (0, 6464)	0.623755812613169"
1755,ham,"  (0, 6320)	0.6076035924690717
  (0, 6098)	0.37016471978100085
  (0, 3476)	0.2977744943866331
  (0, 2517)	0.6364953300228653"
1756,ham,"  (0, 8209)	0.3626689778030661
  (0, 5343)	0.23496532437774137
  (0, 5147)	0.5259059272688875
  (0, 4541)	0.44428745253597685
  (0, 3605)	0.38472916119089723
  (0, 1099)	0.4373529428176222"
1757,ham,"  (0, 8302)	0.9246178815571745
  (0, 8005)	0.1781907990389962
  (0, 5144)	0.18423350348787274
  (0, 4914)	0.21604261873335864
  (0, 4610)	0.1808685028576932"
1758,ham,"  (0, 6874)	0.7396082024639784
  (0, 3265)	0.6730376711953074"
1759,ham,"  (0, 8202)	0.2453436887139305
  (0, 7498)	0.30866299966724536
  (0, 7494)	0.30866299966724536
  (0, 7107)	0.3993968362672776
  (0, 6859)	0.350360440777764
  (0, 6102)	0.33532597456510144
  (0, 4520)	0.3386703386252108
  (0, 4485)	0.2032016170871263
  (0, 3677)	0.3213808587421216
  (0, 1289)	0.30866299966724536"
1760,ham,"  (0, 6704)	0.4022886472465148
  (0, 5269)	0.36814090995933063
  (0, 3891)	0.41849572786186817
  (0, 3596)	0.5032305999848773
  (0, 1955)	0.37944605007729615
  (0, 865)	0.3609391898808562"
1761,ham,"  (0, 7886)	0.2828526869289132
  (0, 7814)	0.12335546427861327
  (0, 7665)	0.1809256301055758
  (0, 7557)	0.161963220433604
  (0, 7495)	0.20692232458356266
  (0, 7404)	0.19710113833057694
  (0, 7203)	0.22358128373494035
  (0, 6591)	0.195057498914461
  (0, 6184)	0.19408310140050813
  (0, 5044)	0.2828526869289132
  (0, 4847)	0.2828526869289132
  (0, 4708)	0.20043742337252354
  (0, 4599)	0.21327664655557807
  (0, 4577)	0.195057498914461
  (0, 4394)	0.17622584821944798
  (0, 3494)	0.1327403913176319
  (0, 3482)	0.2318891585172445
  (0, 3243)	0.23895509292168712
  (0, 2555)	0.2828526869289132
  (0, 2413)	0.15538823261673773
  (0, 2179)	0.2700134637458587
  (0, 2095)	0.1345910323616844"
1762,ham,"  (0, 6864)	0.20918359308672704
  (0, 6188)	0.3388220955201588
  (0, 6185)	0.31253018549570233
  (0, 5368)	0.2777741709661225
  (0, 4486)	0.2862382754712458
